a,b,op
7.3,0.5,mul
14.6,1.0,div
21.9,1.5,mul
29.2,2.0,div
36.5,2.5,mul
43.8,3.0,div
51.1,3.5,mul
58.4,4.0,div
65.7,0.5,mul
73.0,1.0,div
80.3,1.5,mul
87.6,2.0,div
94.9,2.5,mul
102.2,3.0,div
109.5,3.5,mul
116.8,4.0,div
124.1,0.5,mul
131.4,1.0,div
138.7,1.5,mul
146.0,2.0,div
153.3,2.5,mul
160.6,3.0,div
167.9,3.5,mul
175.2,4.0,div
182.5,0.5,mul
189.8,1.0,div
197.1,1.5,mul
204.4,2.0,div
211.7,2.5,mul
219.0,3.0,div
226.3,3.5,mul
233.6,4.0,div
240.9,0.5,mul
248.2,1.0,div
255.5,1.5,mul
262.8,2.0,div
270.1,2.5,mul
277.4,3.0,div
284.7,3.5,mul
292.0,4.0,div
299.3,0.5,mul
306.6,1.0,div
313.9,1.5,mul
321.2,2.0,div
328.5,2.5,mul
335.8,3.0,div
343.1,3.5,mul
350.4,4.0,div
357.7,0.5,mul
365.0,1.0,div
